Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
benchmarks/exponential_1/medium/delayedReduce,5.295802023864352e-2,5.230767283189461e-2,5.365482220868889e-2,1.3425556430676474e-3,1.0308922409304941e-3,1.70953306530087e-3
benchmarks/exponential_1/medium/delayedFoldLReduce,2.5497207645834123,2.535585000000083,2.5618434625000646,1.5108555944708571e-2,7.269149999956426e-3,1.9602480203425462e-2
benchmarks/exponential_1/medium/delayedFoldRReduce,2.532365616666766,2.515581362500029,2.5513222125001676,1.9956839892160697e-2,9.348900000077265e-3,2.7966394781907586e-2
benchmarks/exponential_100/short/delayedTreeReduce,1.2958968729164628,1.1663362687494327,1.3608159104166664,0.12215706893041423,6.407914413698729e-4,0.14992409510509574
benchmarks/exponential_100/short/delayedReduce,1.6755013979167377,1.4897613874999251,1.8393077875001609,0.19260368264880823,0.14557636250003725,0.21875063172392856
benchmarks/exponential_100/short/delayedFoldLReduce,9.996086985416676,9.834922537499892,10.138036187500006,0.1929513515338136,9.231728333346201e-2,0.2655945327873531
benchmarks/exponential_100/short/delayedFoldRReduce,10.189694281250127,9.823994293750161,10.6704979000001,0.47861982315433443,0.1692102832423753,0.6516387799178553
benchmarks/exponential_100/medium/delayedTreeReduce,1.8086424708334523,1.700441962500122,1.88780305833338,0.11232861326253361,3.156387393184669e-2,0.1407211221913287
benchmarks/exponential_100/medium/delayedReduce,3.502378914583346,3.4101183312500325,3.583834541666647,0.10312196631687244,4.7055108333324824e-2,0.13370062470915317
benchmarks/exponential_100/medium/delayedFoldLReduce,104.53384427499991,101.96639698750009,105.9986181249996,2.456464040632512,1.103899074999994,3.1040052788899177
benchmarks/exponential_100/medium/delayedFoldRReduce,102.3473873020834,100.73888679375028,103.64473107499987,1.6368811250058575,1.1232195238403289,1.9458107610193043
benchmarks/constant_1_ms/long/delayedTreeReduce,0.44299342291674293,0.44125033125010305,0.4452247249998891,2.30195703580312e-3,8.628351592886293e-4,3.145712186517925e-3
benchmarks/constant_1_ms/long/delayedReduce,0.11379723962802797,0.10824422633934969,0.11674280102686875,5.72832753159196e-3,3.4808755246399673e-3,8.307354770441033e-3
benchmarks/constant_1_ms/extreme/delayedTreeReduce,129.14103005416652,127.36730684166636,130.12463489166666,1.7019702560546648,0.4379117113759108,2.2715380708276918
benchmarks/constant_1_ms/extreme/delayedReduce,0.9402337979170928,0.9284330000004957,0.9501489958335394,1.2437489823737739e-2,5.72783333306387e-3,1.6284236511079842e-2
benchmarks/constant_10_ms/long/delayedTreeReduce,0.4784961249998787,0.4685560250002254,0.49002538749994073,1.3385643312821825e-2,5.173849999437152e-3,1.698143026244292e-2
benchmarks/constant_10_ms/long/delayedReduce,0.28220353699990786,0.2737805339998522,0.3018167249999351,1.5637663557586733e-2,1.6722433771061643e-3,2.1422456203761875e-2
benchmarks/constant_10_ms/extreme/delayedTreeReduce,87.46732109583338,75.08850649583322,105.65238765833313,17.689961023496814,1.5985185430092486,23.528086688865407
benchmarks/constant_10_ms/extreme/delayedReduce,2.231287589583227,2.178888106249701,2.3090848812497597,7.595197680026339e-2,1.8001116667013095e-2,0.10022552412520659
benchmarks/constant_100_ms/long/delayedTreeReduce,1.5359808062499571,1.528915543750145,1.5414567624998199,7.870869502403397e-3,2.5910999999420037e-3,9.654234694787713e-3
benchmarks/constant_100_ms/long/delayedReduce,1.5758251375000327,1.5615186750001158,1.5856145249999827,1.4909294107564572e-2,7.755675000225892e-3,2.0997421000084355e-2
benchmarks/constant_100_ms/extreme/delayedTreeReduce,59.904721125000414,59.055034775001026,60.52191990000006,0.8703192759309021,0.46497514999949274,1.2107074693392423
benchmarks/constant_100_ms/extreme/delayedReduce,10.82037256666672,9.926515125000378,11.299910774999717,0.8462117651926815,4.34793166664349e-2,1.057240464307972
benchmarks/constant_1000_ms/long/delayedTreeReduce,14.132718214583216,14.129162668750041,14.135877216666206,3.766489209169312e-3,2.709504812701599e-3,4.585897999238689e-3
benchmarks/constant_1000_ms/long/delayedReduce,14.170595985416677,14.142950943749725,14.205526266666917,3.5477604163068326e-2,1.3638501864311411e-2,4.871470838610696e-2
benchmarks/constant_1000_ms/extreme/delayedTreeReduce,39.17991425208356,38.14910987500025,40.84815428125012,1.70386831238278,0.21208839999962947,2.159358215892009
benchmarks/constant_1000_ms/extreme/delayedReduce,71.66503628749975,70.13787826249957,73.23162612499966,1.6850599201707497,0.9721570250000369,2.381568214959012
benchmarks/uniform_0_2_ms/long/delayedTreeReduce,0.5086033145836382,0.5069938416668265,0.5107717375005905,2.338778589410853e-3,8.713466493780817e-4,3.198674451918025e-3
benchmarks/uniform_0_2_ms/long/delayedReduce,0.12853971203879133,0.12802656188987113,0.1295317918750584,1.0537114581387092e-3,4.872068198925572e-4,1.626170749882956e-3
benchmarks/uniform_0_2_ms/extreme/delayedTreeReduce,73.64680623541683,72.24262307083305,75.13666739375003,1.819091371021337,0.721766012500666,2.409398509037582
benchmarks/uniform_0_2_ms/extreme/delayedReduce,1.0312143708329888,1.0226482166660085,1.0397805249999692,1.0013132352934136e-2,8.228750000853324e-3,1.1398780324884434e-2
benchmarks/uniform_0_20_ms/long/delayedTreeReduce,0.6459085770831431,0.637513787500211,0.657619683332238,1.1369787659344014e-2,3.5808666665009814e-3,1.5252107434311405e-2
benchmarks/uniform_0_20_ms/long/delayedReduce,0.3611348604172993,0.3526400687512705,0.36580564375049107,8.233142096201601e-3,3.811537498677353e-3,1.0134864359781592e-2
benchmarks/uniform_0_20_ms/extreme/delayedTreeReduce,73.02434087291688,72.52786356875004,73.75822369999969,0.7120213072320882,0.19943355019285114,0.947131670636228
benchmarks/uniform_0_20_ms/extreme/delayedReduce,1.5566258833331783,1.5450379500000508,1.5654242666663172,1.1568950420606265e-2,5.579099999977188e-3,1.5602563859492003e-2
benchmarks/uniform_0_200_ms/long/delayedTreeReduce,2.16641634999966,2.1152911124995626,2.203990637499525,5.33652009119076e-2,3.7188075741161834e-2,6.66655097508504e-2
benchmarks/uniform_0_200_ms/long/delayedReduce,2.506973949999974,2.412260299999616,2.665322900000774,0.15274786076214272,2.9303700001037214e-2,0.19976411690156376
benchmarks/uniform_0_200_ms/extreme/delayedTreeReduce,74.74307650625026,73.65397369999967,75.15610220625058,0.7490200807625128,8.99215250037283e-2,0.9538419963096615
benchmarks/uniform_0_200_ms/extreme/delayedReduce,5.9093948270828305,5.810051458331752,5.962253175000114,9.430781627598897e-2,1.0886935254640656e-2,0.12015530900859947
benchmarks/uniform_0_2000_ms/long/delayedTreeReduce,20.385368854166018,19.935404324998217,20.81944115833312,0.5470070757607141,0.2664157083331702,0.6733894650041266
benchmarks/uniform_0_2000_ms/long/delayedReduce,24.87283093124999,24.1216442000006,25.34897288124959,0.780673880275005,0.40219433749962263,1.0996027320189716
benchmarks/uniform_0_2000_ms/extreme/delayedTreeReduce,92.84020431041692,92.42666773750034,93.52775159166747,0.6703910186247362,0.20077595264850023,0.8968411424268923
benchmarks/uniform_0_2000_ms/extreme/delayedReduce,44.72583623541724,43.65430755000125,45.63895067083361,1.0856509606916416,0.8714606549423732,1.2399259684613224
benchmarks/exponential_1/long/delayedTreeReduce,0.5202829145836555,0.5199914624995472,0.5204824375009593,2.951002964541241e-4,1.3116250056555145e-4,4.1226658344078006e-4
benchmarks/exponential_1/long/delayedReduce,0.16291558197266517,0.1596366367343818,0.1683798867347368,6.321862523115885e-3,3.239735711854493e-3,9.806786015752232e-3
benchmarks/exponential_1/extreme/delayedTreeReduce,90.82608494791664,83.64523407500019,97.15805798541676,8.169614876285378,6.7280085588033245,9.070258792648652
benchmarks/exponential_1/extreme/delayedReduce,1.1292254875002072,1.1145211125008245,1.1421072499997535,1.5170953257028476e-2,1.2619443332816565e-2,1.7131310392024902e-2
benchmarks/exponential_100/long/delayedTreeReduce,3.2561214124999274,3.084637874999771,3.486886837499924,0.22844141228474002,7.480110000021045e-2,0.3096513957076144
benchmarks/exponential_100/long/delayedReduce,6.307184552083224,6.11937043124999,6.627540399999816,0.3038322646843356,3.096974682586251e-2,0.38539994347516243
benchmarks/exponential_100/extreme/delayedTreeReduce,135.92045015416693,130.24282787500033,141.59807243333353,6.686683450716222,5.604848398509088,7.50237912183792
benchmarks/exponential_100/extreme/delayedReduce,11.738428097916236,11.530115799999294,11.864096531249515,0.20006639655851235,6.422463333304496e-2,0.2650180485438741
benchmarks/exponential_1000/long/delayedTreeReduce,27.552953016666454,25.989783974999227,29.921820954166908,2.2778704956633087,0.5587169916947023,3.0512672762871498
benchmarks/exponential_1000/long/delayedReduce,59.62665424791718,58.65345533333341,61.00455754375071,1.3071906646056732,0.13538267217184208,1.658757013619437
benchmarks/exponential_1000/extreme/delayedTreeReduce,161.6822033124989,149.34834642499936,172.321822874999,13.299232471408205,6.327195500000627,17.265132823657016
benchmarks/exponential_1000/extreme/delayedReduce,101.37405839999867,94.82711989999734,103.99208367499901,4.536580694335625,0.15391251736750267,6.046070389066758
benchmarks/exponential_10/short/delayedTreeReduce,0.13425077220238094,0.12279665916666666,0.14656542157738095,1.8533629011454306e-2,1.283586681861956e-2,2.6312995618388974e-2
benchmarks/exponential_10/short/delayedReduce,0.1844596138888889,0.1768151972222222,0.19950905,1.4799352697377675e-2,6.221363968187897e-3,2.1025624956997054e-2
benchmarks/exponential_10/short/delayedFoldLReduce,1.1457190562499997,1.1317244124999997,1.1691130499999998,2.274501932404084e-2,5.559912499999875e-3,3.0223074156511612e-2
benchmarks/exponential_10/short/delayedFoldRReduce,1.16444785,1.1015821,1.2080087000000002,6.843188855070952e-2,3.9350462297154665e-3,9.666442766480052e-2
benchmarks/exponential_10/medium/delayedTreeReduce,0.22041237111111203,0.21514901833333475,0.22775766555555602,8.374030922923902e-3,4.3246867713340464e-3,1.30576418699573e-2
benchmarks/exponential_10/medium/delayedReduce,0.35447380208333357,0.32954237500000083,0.38942013124999963,3.3109494647645676e-2,1.305677633769986e-4,4.041782898481635e-2
benchmarks/exponential_10/medium/delayedFoldLReduce,11.221283647916666,10.984474216666666,11.348239054166665,0.2251380171779148,6.954881666666779e-2,0.2931909518940622
benchmarks/exponential_10/medium/delayedFoldRReduce,11.401052502083338,11.208868349999989,11.553050956250011,0.22289988826769638,0.15050045295715428,0.2618384314622223
benchmarks/exponential_10/long/delayedTreeReduce,0.7101191333333254,0.6996344125,0.7171561124999855,1.0763369224173832e-2,4.218996714610281e-3,1.3978323592382975e-2
benchmarks/exponential_10/long/delayedReduce,0.6903583708333277,0.6735554249999893,0.7144524083333342,2.353137911921968e-2,7.298674999987043e-3,3.2035290048957485e-2
benchmarks/exponential_10/extreme/delayedTreeReduce,75.63756161666664,75.0574180333333,76.29189116666664,0.769835107218983,0.2699170666666646,1.0281108338268026
benchmarks/exponential_10/extreme/delayedReduce,2.094487879166664,2.0454845000000432,2.1122814041666373,3.293231127849876e-2,7.04069030802959e-4,4.109238579426801e-2
