Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
benchmarks/constant_1_ms/short/delayedTreeReduce,1.3871921477445405e-2,1.3654410567619022e-2,1.3978499992767306e-2,3.631865115454536e-4,6.283189156698605e-5,5.695603760492291e-4
benchmarks/constant_1_ms/short/delayedReduce,1.3789447699751557e-2,1.3322488674732179e-2,1.3994492607043005e-2,7.234371843632316e-4,2.5836321664661054e-6,1.304491169183969e-3
benchmarks/constant_1_ms/short/delayedFoldLReduce,0.19587803,0.18940440777777776,0.19984137444444441,6.481433383157744e-3,3.7583152700330397e-3,8.254989570988022e-3
benchmarks/constant_1_ms/short/delayedFoldRReduce,0.19367623527777764,0.18004352416666589,0.19971479027777786,1.1076723262825118e-2,3.2806248094005563e-4,1.5050728355327985e-2
benchmarks/constant_1_ms/medium/delayedTreeReduce,2.5664616375530747e-2,2.5380492158536883e-2,2.6001792333677467e-2,6.71402353010711e-4,5.086962879459998e-4,8.86354540017274e-4
benchmarks/constant_1_ms/medium/delayedReduce,2.2136367742610043e-2,2.154909992954663e-2,2.2401910226915324e-2,8.922810376724051e-4,4.4579176441317904e-4,1.5547483612474693e-3
benchmarks/constant_1_ms/medium/delayedFoldLReduce,1.9052822812499992,1.8879895125000008,1.9310860749999978,2.4573568813320623e-2,6.662749999998496e-3,3.2242457759297634e-2
benchmarks/constant_1_ms/medium/delayedFoldRReduce,1.9024036395833361,1.8700345625000008,1.9343574687500018,4.137004268232301e-2,1.8712980699925875e-2,5.5081226784129085e-2
benchmarks/constant_10_ms/short/delayedTreeReduce,7.600058165476162e-2,7.566017090476168e-2,7.632169605952317e-2,5.619481872158894e-4,3.6717973735694815e-4,8.917949337905672e-4
benchmarks/constant_10_ms/short/delayedReduce,7.551388822871508e-2,7.52276289610378e-2,7.576919168831085e-2,4.6059900778507224e-4,3.70194051377643e-4,6.15992485998446e-4
benchmarks/constant_10_ms/short/delayedFoldLReduce,1.0774025083333318,1.0726512916666677,1.082153724999996,6.229281103672289e-3,2.291649999998313e-3,8.326295397132318e-3
benchmarks/constant_10_ms/short/delayedFoldRReduce,1.0790181395833336,1.0737568291666668,1.084607758333333,6.822229688642845e-3,2.6837333333334934e-3,9.05156761654458e-3
benchmarks/constant_10_ms/medium/delayedTreeReduce,0.11307658663690415,0.11234311011905093,0.11357381845238092,9.19379655916527e-4,4.925274447576446e-4,1.3805586989082898e-3
benchmarks/constant_10_ms/medium/delayedReduce,0.11158911251488211,0.11138595575892773,0.11177855877976488,3.055192792834343e-4,2.3755036193172212e-4,3.9138041901294493e-4
benchmarks/constant_10_ms/medium/delayedFoldLReduce,10.758142468749998,10.749825350000005,10.764204687500001,9.29052488410497e-3,5.586965475100859e-3,1.3108492488080216e-2
benchmarks/constant_10_ms/medium/delayedFoldRReduce,10.744917833333332,10.733771537499997,10.755047425,1.1872774160449823e-2,9.452841963962759e-3,1.370572766279727e-2
benchmarks/constant_100_ms/short/delayedTreeReduce,0.7046659645833463,0.7040935125000232,0.7052384166666694,6.965182545309417e-4,4.5972576086475745e-4,8.5194286847316e-4
benchmarks/constant_100_ms/short/delayedReduce,0.7042304416666608,0.7040145624999958,0.7044013583333235,2.3207725425783565e-4,1.0383644591906364e-4,3.182643358912958e-4
benchmarks/constant_100_ms/short/delayedFoldLReduce,10.046592983333321,10.042341374999978,10.05133755,4.990451636383656e-3,2.434808333343419e-3,7.00719436961744e-3
benchmarks/constant_100_ms/short/delayedFoldRReduce,10.058226122916638,10.054119981249976,10.063968374999945,5.478378680184414e-3,2.5980166666768056e-3,6.778366401620917e-3
benchmarks/constant_100_ms/medium/delayedTreeReduce,1.0126853312500022,1.0114813999999797,1.01314358125002,8.331953546031307e-4,2.3400000012885336e-5,1.0312630508526389e-3
benchmarks/constant_100_ms/medium/delayedReduce,1.0111926416666701,1.0104361750000024,1.0117274874999822,7.519563120744328e-4,3.628165316716559e-4,9.940528259617068e-4
benchmarks/constant_100_ms/medium/delayedFoldLReduce,100.56592060208331,100.54015081249997,100.58618070208334,2.522411125271229e-2,1.0418224999966696e-2,3.0103466425735213e-2
benchmarks/constant_100_ms/medium/delayedFoldRReduce,100.57245371875003,100.55664949375002,100.58498117500005,1.5925022128430426e-2,6.822400000068285e-3,2.1053091999747225e-2
benchmarks/uniform_1_11_ms/short/delayedTreeReduce,6.371697258069133e-2,6.251817079003373e-2,6.465789506495112e-2,1.8486514893385252e-3,1.272808035880616e-3,2.7801393573293107e-3
benchmarks/uniform_1_11_ms/short/delayedReduce,7.03905288925068e-2,6.795057722949366e-2,7.148425805916135e-2,2.8184583965629798e-3,1.053128203811411e-3,4.943086208360834e-3
benchmarks/uniform_1_11_ms/short/delayedFoldLReduce,0.7304680833332403,0.7018400499998734,0.7571976666666085,3.206293139195097e-2,2.267956328825283e-2,3.8792357037039406e-2
benchmarks/uniform_1_11_ms/short/delayedFoldRReduce,0.7349688958332573,0.7273615708331059,0.7436493499998846,8.956784461406334e-3,4.35616097388458e-3,1.2544984191751363e-2
benchmarks/uniform_1_11_ms/medium/delayedTreeReduce,0.10111192019404487,9.896976155208426e-2,0.10265569166669963,2.9749269725634474e-3,1.8945232683324831e-3,4.533160365379156e-3
benchmarks/uniform_1_11_ms/medium/delayedReduce,0.11181990778275379,0.11045039678574269,0.11277705520835941,1.8254267148249419e-3,9.899095347916298e-4,2.8837561582019298e-3
benchmarks/uniform_1_11_ms/medium/delayedFoldLReduce,7.380318449999891,7.341292950000025,7.435970949999614,5.626943797818694e-2,1.342825000006087e-2,7.461992421616813e-2
